Project;CommitID;Developer;Title;Summary;IssueKey;IssueType;CreatedDate;ResolvedDate;PatternChanges;Column1;Column2;Column3
MINA;7961a51e78830fcbad9ff2572b7934899b41d2df;Emmanuel Lécharny;[DIRMINA-539] NioDatagramConnector doesn't takes the TrafficClass value set to his DatagramSessionConfig ;NioDatagramConnector doesn't takes the TrafficClass value set to his DatagramSessionConfig ;DIRMINA-539;Bug;Thu- 6 Mar 2008 14:03:22 +0000;Thu- 11 Sep 2014 05:48:07 +0000;2 instances of the Facade Pattern were REMOVED;;;
MINA;acf1d0c5d0651b7810fd9ab5cb6b52112c5077f5;Trustin Lee;[DIRMINA-536] TextLineDecoder throws an IndexOutOfBoundsException;TextLineDecoder throws an IndexOutOfBoundsException;DIRMINA-536;Bug;Mon- 25 Feb 2008 14:49:45 +0000;Wed- 12 Mar 2008 06:54:31 +0000;2 instances of the Bridge Pattern were ADDED;3 instances of the Facade Pattern were ADDED;1 instances of the Proxy Pattern were ADDED;1 instances of the Strategy Pattern were ADDED
MINA;17d271b3f730b303ab1b358c5e56d2d00db43676;Trustin Lee;[DIRMINA-533] NPE in OrderedThreadPoolExecutor and UnorderedThreadPoolExecutor;NPE in OrderedThreadPoolExecutor and UnorderedThreadPoolExecutor;DIRMINA-533;Bug;Wed- 20 Feb 2008 11:43:44 +0000;Wed- 20 Feb 2008 11:45:40 +0000;1 instances of the Facade Pattern were ADDED;;;
MINA;7552914ee19534ce18409bca581723551f6d008e;Trustin Lee;[DIRMINA-548] subclass of CumulativeDecoder throws an UnsupportedOperationException if IoBuffer.slice() is used;subclass of CumulativeDecoder throws an UnsupportedOperationException if IoBuffer.slice() is used;DIRMINA-548;Bug;Tue- 11 Mar 2008 17:00:32 +0000;Mon- 17 Mar 2008 14:50:28 +0000;2 instances of the Bridge Pattern were REMOVED;3 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;2 instances of the Strategy Pattern were REMOVED
MINA;e00d1cab66618d4e5cc0148e4e94040643f7f6da;Unassigned;[DIRMINA-556] Allow blocking CIDR subnets in BlacklistFilter;Allow blocking CIDR subnets in BlacklistFilter;DIRMINA-556;Improvement;Wed- 19 Mar 2008 08:37:25 +0000;Tue- 8 Jul 2008 12:35:29 +0000;2 instances of the Bridge Pattern were ADDED;3 instances of the Facade Pattern were ADDED;1 instances of the Flyweight Pattern were ADDED;2 instances of the Strategy Pattern were ADDED
MINA;d36ca5b2e0c65b198272e31972d97a19bce386ff;Peter A Royal Jr.;[DIRMINA-557] Infinite loop if encoding wide UTF-8 characters;Infinite loop if encoding wide UTF-8 characters;DIRMINA-557;Bug;Wed- 19 Mar 2008 18:31:28 +0000;Wed- 19 Mar 2008 18:35:19 +0000;2 instances of the Facade Pattern were ADDED;1 instances of the Proxy Pattern were ADDED;;
MINA;158ea354f481d069fbc253e83d754d4ca39ce85c;Trustin Lee;[DIRMINA-514] Session closing problem on Mac OS X;Session closing problem on Mac OS X;DIRMINA-514;Bug;Wed- 16 Jan 2008 16:24:27 +0000;Fri- 21 Mar 2008 12:13:19 +0000;2 instances of the Facade Pattern were REMOVED;;;
MINA;78db42194ebf4d8952671af1535baf1d31fc04ab;Niklas Therning;[DIRMINA-558] Allow multiple state machines for the same session;Allow multiple state machines for the same session;DIRMINA-558;New Feature;Tue- 25 Mar 2008 22:09:09 +0000;Tue- 25 Mar 2008 22:16:23 +0000;2 instances of the Bridge Pattern were ADDED;5 instances of the Facade Pattern were ADDED;1 instances of the Strategy Pattern were ADDED;
MINA;92d4586b9a99a4d4344fb526ce5f84ab23790b02;Niklas Therning;[DIRMINA-559] State machines for IoFilter cannot be created;State machines for IoFilter cannot be created;DIRMINA-559;Bug;Tue- 25 Mar 2008 22:18:43 +0000;Tue- 25 Mar 2008 22:21:08 +0000;2 instances of the Facade Pattern were REMOVED;1 instances of the Proxy Pattern were REMOVED;;
MINA;dc0a8bfaf6b6e0a986f8d2534ca9cb2b40bee01a;Trustin Lee;[DIRMINA-562] KeepAliveFilter shouldn't forward sessionIdle(READER_IDLE) to the next filter.;KeepAliveFilter shouldn't forward sessionIdle(READER_IDLE) to the next filter.;DIRMINA-562;Bug;Fri- 4 Apr 2008 08:29:57 +0000;Fri- 4 Apr 2008 08:37:43 +0000;2 instances of the Bridge Pattern were REMOVED;3 instances of the Facade Pattern were REMOVED;1 instances of the Strategy Pattern were REMOVED;
MINA;52f5af6d1b4e1ce1b6cb4f6d6d43c2624192dea9;Trustin Lee;[DIRMINA-564] Make KeepAliveFilter to work with other IdleStatuses then READER_IDLE;Make KeepAliveFilter to work with other IdleStatuses then READER_IDLE;DIRMINA-564;Improvement;Fri- 4 Apr 2008 10:37:32 +0000;Wed- 9 Apr 2008 11:22:52 +0000;2 instances of the Bridge Pattern were ADDED;3 instances of the Facade Pattern were ADDED;1 instances of the Strategy Pattern were ADDED;
MINA;6171f20cbe304dd39bee839460531933ada97695;Trustin Lee;[DIRMINA-565] Make LoggingFilter.log() protected;Make LoggingFilter.log() protected;DIRMINA-565;Improvement;Fri- 4 Apr 2008 11:04:50 +0000;Fri- 4 Apr 2008 11:09:11 +0000;2 instances of the Bridge Pattern were REMOVED;3 instances of the Facade Pattern were REMOVED;1 instances of the Proxy Pattern were ADDED;1 instances of the Strategy Pattern were REMOVED
